route_id,catchment,frequency (veh/hours),fleet,length (m),num station,veh.km/h,round trip time (s)
MRCLM_403,24930.01,0.67,1.0,15245.0,84,10.8,1800.0
MRCLM_417,14981.07,1.01,1.0,16998.0,67,18.0,1740.0
MRCLM_418,21072.55,0.67,1.0,12112.0,62,10.8,1380.0
MRCLM_41,23662.29,1.34,2.0,17260.0,131,25.2,2700.0
MRCLM_45,13938.17,1.34,1.0,25553.0,112,14.4,3360.0
MRCLM_48,18537.97,0.67,1.0,10093.0,80,7.2,1920.0
MRCLM_4,21025.4,0.67,1.0,12537.0,75,10.8,1920.0
MRCLM_11,18892.8,1.84,4.0,45126.0,171,86.4,6120.0
MRCLM_5,14191.11,0.67,1.0,44873.0,124,14.4,4860.0
MRCLM_8,20167.02,0.67,1.0,28228.0,131,14.4,4620.0
MRCLM_9,24813.99,0.88,2.0,50523.0,131,46.8,5460.0
MRCLM_427,12899.3,0.67,1.0,11547.0,40,10.8,1440.0
MRCLM_25,38216.46,1.46,3.0,59097.0,26,61.2,5340.0
MRCLM_17,20024.97,1.01,2.0,53892.0,152,57.6,6060.0
MRCLM_18,26117.0,2.01,2.0,43981.0,180,46.8,6060.0
MRCLM_19G,10684.05,4.02,3.0,22841.0,9,93.6,1920.0
MRCLM_19,9121.5,4.59,6.0,62929.0,23,255.6,4260.0
MRCLM_1,23662.29,1.68,2.0,41937.0,175,32.4,5640.0
MRCLM_20,19440.27,2.01,2.0,20232.0,98,43.2,2880.0
MRCLM_21,28043.85,1.01,1.0,35922.0,144,25.2,4980.0
MRCLM_22,13946.92,0.67,1.0,13115.0,55,10.8,1980.0
MRCLM_23,18718.84,0.67,2.0,69651.0,48,36.0,5100.0
MRCLM_14,15753.47,2.01,3.0,28070.0,133,57.6,3840.0
MRCLM_24C,1982.79,0.67,1.0,2996.0,10,3.6,300.0
MRCLM_30G,12081.07,6.7,4.0,19088.0,9,129.6,2040.0
MRCLM_11C,4057.26,,0.0,21787.0,16,0.0,1740.0
STL_AOUT1912E,9580.75,1.34,1.0,1937.03,5,3.6,301.0
STL_AOUT1939N,52748.78,0.67,1.0,19624.35,90,14.4,3029.0
STL_AOUT1939S,53596.33,3.35,4.0,19725.5,105,68.4,3262.0
STL_AOUT19402O,27854.81,1.34,1.0,14651.15,95,21.6,1651.0
STL_AOUT1940E,25409.28,4.02,2.0,6504.83,33,28.8,1328.0
STL_AOUT1940O,32219.75,2.31,2.0,11277.86,45,28.8,1639.0
STL_AOUT1941S,43501.46,1.34,1.0,13284.61,98,18.0,2116.0
STL_AOUT1942E,63100.36,4.69,5.0,25677.9,118,122.4,3700.0
STL_AOUT1942O,64971.86,3.77,8.0,40329.88,216,154.8,6716.0
STL_AOUT1943N,35257.03,1.01,1.0,10257.19,65,10.8,1455.0
STL_AOUT1943S,34495.83,2.35,1.0,10739.01,64,28.8,1454.0
STL_AOUT1937S,31385.15,1.01,1.0,12225.44,63,14.4,1760.0
STL_AOUT1945N,24006.49,2.01,2.0,14324.69,75,32.4,1940.0
STL_AOUT1946N,47719.66,1.34,1.0,16842.39,93,25.2,2191.0
STL_AOUT1946S,47167.0,3.69,3.0,16873.53,70,64.8,2431.0
STL_AOUT1948E,32200.65,2.01,2.0,15885.81,86,32.4,2008.0
STL_AOUT1948O,32033.59,3.35,3.0,15786.88,84,54.0,2301.0
STL_AOUT19144O,50051.41,1.01,1.0,14174.86,63,14.4,2356.0
STL_AOUT1950E,31557.56,2.01,2.0,14351.36,77,32.4,2236.0
STL_AOUT1950O,31399.9,2.01,2.0,14490.26,68,32.4,2648.0
STL_AOUT1952E,54793.56,1.01,2.0,32748.79,151,36.0,3895.0
STL_AOUT1952O,56978.22,1.01,2.0,33165.02,107,36.0,4495.0
STL_AOUT1955N,91993.99,1.01,2.0,25742.28,84,28.8,4166.0
STL_AOUT1955S,94071.39,3.02,4.0,25505.42,75,79.2,4106.0
STL_AOUT1956E,40789.6,2.22,3.0,26240.96,145,64.8,4004.0
STL_AOUT1945S,25754.02,3.02,2.0,14378.38,75,46.8,2120.0
STL_AOUT1937N,30788.21,2.35,2.0,11982.15,52,28.8,1758.0
STL_AOUT1936E,38723.6,3.69,2.0,9654.12,60,36.0,1455.0
STL_AOUT1933S,36887.75,2.35,2.0,12081.51,55,28.8,1941.0
STL_AOUT19151S,66139.05,3.21,7.0,46598.24,152,115.2,8436.0
STL_AOUT1917N,41609.05,1.68,1.0,13103.95,100,25.2,1880.0
STL_AOUT1917S,41629.58,4.02,2.0,23202.04,139,54.0,3217.0
STL_AOUT1920E,44055.87,1.34,1.0,16195.81,91,18.0,2727.0
STL_AOUT1920O,45550.7,1.01,1.0,12089.76,57,14.4,2062.0
STL_AOUT19222E,29791.84,1.01,1.0,15381.49,90,18.0,2010.0
STL_AOUT19222O,30076.5,2.01,2.0,14903.9,109,32.4,2069.0
STL_AOUT1922E,31518.3,1.34,1.0,19183.41,109,28.8,2492.0
STL_AOUT1922O,32188.48,1.34,1.0,19059.61,78,28.8,2434.0
STL_AOUT1924E,46639.61,4.69,3.0,11329.7,74,54.0,2115.0
STL_AOUT1924O,45140.11,2.01,1.0,11186.2,54,25.2,1758.0
STL_AOUT19252O,50866.25,2.68,3.0,20726.98,116,57.6,3445.0
STL_AOUT1926E,47369.01,6.54,8.0,24114.77,110,154.8,4176.0
STL_AOUT1926O,49211.34,3.69,3.0,14481.45,87,54.0,2129.0
STL_AOUT1927N,45643.84,0.94,2.0,21672.37,129,25.2,3223.0
STL_AOUT1927S,45643.84,2.35,2.0,13613.95,92,32.4,2062.0
STL_AOUT19313N,8757.83,,0.0,17464.18,6,0.0,2101.0
STL_AOUT1931N,49749.39,1.68,2.0,17245.2,90,32.4,2548.0
STL_AOUT1931S,49289.64,2.35,2.0,17599.65,99,43.2,2784.0
STL_AOUT1933N,37463.58,1.22,2.0,18794.82,87,25.2,3210.0
STL_AOUT19151N,63128.87,2.35,2.0,18474.31,73,46.8,2954.0
STL_AOUT1956O,39875.26,1.34,1.0,15148.51,63,21.6,2243.0
STL_AOUT1973S,59943.87,3.02,3.0,21069.49,130,64.8,3265.0
STL_AOUT1961S,41186.19,3.35,3.0,15914.05,79,54.0,2598.0
STL_AOUT1974O,44398.83,1.01,1.0,23916.72,93,25.2,3101.0
STL_AOUT1912O,11700.75,1.34,1.0,1811.26,12,3.6,305.0
STL_AOUT19144E,52339.72,5.7,4.0,14222.62,46,82.8,2476.0
STL_AOUT19902N,37549.95,1.01,1.0,9963.68,45,10.8,1566.0
STL_AOUT1963N,51885.84,1.68,2.0,27944.5,128,36.0,4480.0
STL_AOUT1966E,39303.49,1.68,1.0,12921.94,87,25.2,1768.0
STL_AOUT1973N,60953.77,2.35,3.0,21002.7,114,50.4,3208.0
STL_AOUT1976E,47387.33,4.02,4.0,22401.65,117,93.6,3038.0
STL_AOUT19901S,17130.11,2.01,2.0,22942.12,28,46.8,2105.0
STL_AOUT1963S,53815.45,2.35,3.0,19537.96,102,46.8,3146.0
STL_AOUT1976O,47211.42,2.68,3.0,22412.01,111,61.2,3158.0
STL_AOUT1965N,43124.72,2.01,2.0,16598.93,91,36.0,2604.0
STL_AOUT1965S,44162.25,4.58,6.0,25909.9,131,118.8,4298.0
STL_AOUT19902S,38751.13,2.68,2.0,10060.65,41,28.8,2224.0
STL_AOUT1966O,39656.49,1.01,1.0,12976.84,75,14.4,1940.0
STL_AOUT1970O,57525.96,2.01,3.0,26286.99,111,54.0,3812.0
STL_AOUT19942O,22250.53,1.34,1.0,26447.75,72,36.0,2416.0
STL_AOUT1961N,38226.42,1.01,1.0,15818.96,76,18.0,2362.0
STL_AOUT1960O,54175.38,2.01,2.0,16295.05,95,36.0,3011.0
STL_AOUT19903N,33325.19,1.01,1.0,23869.26,105,25.2,2907.0
STL_AOUT1970E,54877.57,2.35,3.0,25691.88,103,61.2,3928.0
STL_AOUT1958E,39216.21,1.68,1.0,21005.36,115,21.6,3162.0
STL_AOUT1958O,39610.97,3.69,2.0,12346.34,88,46.8,1885.0
STL_AOUT19925S,38165.29,2.68,2.0,19125.32,79,54.0,2536.0
STL_AOUT19903S,36543.78,3.35,3.0,23576.83,64,79.2,3206.0
STL_AOUT1960E,55666.97,1.68,2.0,16022.26,102,28.8,2776.0
STL_AOUT1974E,44398.83,1.01,1.0,23959.7,128,25.2,2866.0
CITHSL_140,10417.16,0.67,1.0,136884.0,337,21.6,19680.0
CITHSL_111,41906.88,0.67,3.0,414662.0,538,79.2,39600.0
CITROUS_100,13075.67,2.3,8.0,95167.0,13,237.6,8460.0
CITROUS_200,32048.13,1.34,2.0,43333.0,10,61.2,4980.0
CITROUS_31,13933.98,3.69,2.0,8876.0,31,36.0,1140.0
CITROUS_32,10896.93,3.69,1.0,7051.0,22,28.8,960.0
CITROUS_33,16336.79,1.45,3.0,25333.0,52,39.6,3660.0
CITROUS_34,13934.97,3.69,2.0,10111.0,38,39.6,1440.0
CITROUS_35,12263.64,2.01,1.0,23061.0,69,25.2,2940.0
CITROUS_30,26827.49,,0.0,14508.0,45,0.0,2100.0
CITROUS_38,9115.81,2.01,1.0,7505.0,28,18.0,960.0
CITROUS_40,14626.62,2.68,1.0,9467.0,37,28.8,1320.0
CITROUS_43,21376.77,,0.0,16744.0,61,0.0,2280.0
CITROUS_210,7895.45,2.01,3.0,48139.0,5,97.2,3600.0
CITROUS_115,21028.1,2.01,2.0,27131.0,22,57.6,2940.0
